URL,Duration,Status,Title,Date,Tags,Description
https://realpython.com/python-thonny/,20m,Completed,Thonny: The Beginner-Friendly Python Editor,Dec 12, 2018,basicseditorstools,"In this tutorial, you’ll learn all about Thonny, a free Python Integrated Development Environment (IDE) that was especially designed with the beginner Pythonista in mind. It has a built-in debugger and allows you to do step-through expression evaluation."
https://realpython.com/python-application-layouts/,15m,Completed,Python Application Layouts: A Reference,Jun 04, 2018,basicsbest-practices,"A reference guide to common Python application layouts and project structures for command-line applications, web applications, and more."
https://realpython.com/python-sql-libraries/,28m,Completed,Introduction to Python SQL Libraries,Feb 24, 2020,basicsdatabasestools,"In this step-by-step tutorial, you'll learn how to connect to different database management systems by using various Python SQL libraries. You'll interact with SQLite, MySQL, and PostgreSQL databases and perform common database queries using a Python application."
https://realpython.com/python-range/,31m,Completed,Python range(): Represent Numerical Ranges,Nov 24, 2024,basicspython,"Master the Python range() function and learn how it works under the hood. You most commonly use ranges in loops. In this tutorial, you'll learn how to iterate over ranges but also identify when there are better alternatives."
https://realpython.com/python-data-types/,52m,Completed,Basic Data Types in Python: A Quick Exploration,Dec 21, 2024,basicspython,"In this tutorial, you'll learn about the basic data types that are built into Python, including numbers, strings, bytes, and Booleans."
https://realpython.com/python-f-strings/,35m,Completed,Python's F-String for String Interpolation and Formatting,Nov 30, 2024,basicspython,"Python's f-strings provide a readable way to interpolate and format strings. They're readable, concise, and less prone to error than traditional string interpolation and formatting tools, such as the .format() method and the modulo operator (%). F-strings are also faster than those tools!"
https://realpython.com/python-formatted-output/,31m,Completed,A Guide to Modern Python String Formatting Tools,Feb 01, 2025,basicspython,"In this tutorial, you'll explore Python's modern string formatting tools. You'll learn how to harness the power of Python's f-strings and the .format() method for string interpolation and formatting."
https://realpython.com/interacting-with-python/,23m,Completed,Interacting With Python,Nov 18, 2024,basicspython,"In this tutorial, you'll explore the various ways of interacting with Python. You'll learn about the REPL for quick testing and running scripts, as well as how to work with IDEs, Jupyter Notebooks, and online interpreters."
https://realpython.com/python-string-formatting/,22m,Completed,Python String Formatting: Available Tools and Their Features,Dec 01, 2024,basicsbest-practicespython,"In this tutorial, you'll learn about the main tools for string formatting in Python, as well as their strengths and weaknesses. These tools include f-strings, the .format() method, and the modulo operator."
https://realpython.com/python-beginner-tips/,10m,Completed,11 Beginner Tips for Learning Python Programming,Apr 03, 2018,basicscareer,"In this article, you'll see several learning strategies and tips that will help jump start your journey of becoming a rockstar Python programmer."
https://realpython.com/best-python-books/,36m,Completed,The Best Python Books,Sep 10, 2018,basicsintermediatecareercommunity,"Find the right books to help you get started with Python or take your coding to the next level with this detailed guide to the best Python books out there."
https://realpython.com/python-operators-expressions/,1h12m,Completed,Operators and Expressions in Python,Jan 11, 2025,basicspython,"In Python, operators are special symbols, combinations of symbols, or keywords that designate some type of computation. You can combine objects and operators to build expressions that perform the actual computation. So, operators are the building blocks of expressions."
https://realpython.com/python-input-integer/,10m,Completed,How to Read Python Input as Integers,Mar 27, 2023,basicspython,"In this tutorial, you'll learn how to use Python to get integer input from the user while handling any errors resulting from non-numeric input. This will involve coding your own reusable function built around input()."
https://realpython.com/what-can-i-do-with-python/,33m,Completed,What Can I Do With Python?,Jul 07, 2021,basicscareer,"In this tutorial, you'll find a set of guidelines that will help you start applying your Python skills to real-world problems. By the end of your reading, you'll be able to answer the question ""What can I do with Python?"""
https://realpython.com/python-keyboard-input/,24m,Completed,How to Read User Input From the Keyboard in Python,Feb 21, 2024,basicsbest-practices,"Reading user input from the keyboard is a valuable skill for a Python programmer, and you can create interactive and advanced programs that run on the terminal. In this tutorial, you'll learn how to create robust user input programs, integrating error handling and multiple entries."
https://realpython.com/python-strip/,24m,Completed,How to Strip Characters From a Python String,Apr 02, 2025,basicspython,"Use Python's .strip() method to remove unwanted whitespace or specific characters. Learn about common pitfalls, real-world use cases, and compare .strip() with similar methods like .lstrip() and .removesuffix()."
https://realpython.com/python-rock-paper-scissors/,20m,,,
