URL,Duration,Status,Title,Date,Tags,Description
https://realpython.com/python-square-root-function/,8m,,The Python Square Root Function,Nov 03, 2024,basics,"In this quick and practical tutorial, you'll learn what a square root is and how to calculate one in Python. You'll even see how you can use the Python square root function to solve a real-world problem."
https://realpython.com/python313-repl/,19m,,Python 3.13 Preview: A Modern REPL,Sep 25, 2024,basicspython,"Python 3.13 will be released in October 2024. In this tutorial, you'll explore one of its new features: a new and modern interactive interpreter, also known as a REPL."
https://realpython.com/python-raw-strings/,31m,,What Are Python Raw Strings?,Jan 24, 2024,basicspython,"In this tutorial, you'll learn the nuances of using raw string literals in your Python source code. Raw strings offer convenient syntax for including backslash characters in string literals without the complexity of escape sequences."
https://realpython.com/python-hangman/,25m,,Build a Hangman Game for the Command Line in Python,Nov 01, 2023,basicsgamedevprojectspython,"In this step-by-step project, you'll learn how to write the game of hangman in Python for the command line. You'll learn how to structure the game as a text-based interface (TUI) application."
https://realpython.com/ptpython-shell/,30m,,Boost Your Coding Productivity With Ptpython,Oct 25, 2023,basicstools,"Learn how to enhance your Python development workflow with auto-completion, syntax highlighting, history navigation, and more. In this tutorial, you'll walk through the fundamentals of ptpython, covering installation, basic usage, and advanced features."
https://realpython.com/zen-of-python/,21m,,What Exactly Is the Zen of Python?,Jun 07, 2023,basicspython,"The Zen of Python is a list of 19 guiding principles for good programs. Understand its purpose, history, and hidden jokes to improve your code today!"
https://realpython.com/coding-font/,53m,,Choosing the Best Coding Font for Programming,May 29, 2023,basicseditorstools,"The font that you use is an important piece in your tool kit as a programmer. After all, you look at your programming font the whole time when writing code. In this tutorial, you'll find your perfect font for coding."
https://realpython.com/chatgpt-coding-mentor-python/,54m,,Use ChatGPT to Learn Python Programming,May 17, 2023,basicsaibest-practices,"Learn Python with ChatGPT! Get instant help, pair program, fix errors, and explore alternate solutions to grow your Python coding skills."
https://realpython.com/python-del-statement/,38m,,Python's del: Remove References From Scopes and Containers,Apr 03, 2023,basicsbest-practicespython,"In this tutorial, you'll learn how Python's del statement works and how to use it in your code. This statement will allow you to remove references from different scopes, items from lists, keys from dictionaries, and members from classes. This will lead to potentially memory-efficient code."
https://realpython.com/python-wordle-clone/,1h14m,,Build a Wordle Clone With Python and Rich,Feb 06, 2023,basicsprojects,"In this step-by-step project, you'll build your own Wordle clone with Python. Your game will run in the terminal, and you'll use Rich to ensure your word-guessing app looks good. Learn how to build a command-line application from scratch and then challenge your friends to a wordly competition!"
https://realpython.com/python-repl/,49m,,The Python Standard REPL: Try Out Code and Ideas Quickly,Jan 25, 2023,basicstools,"In this tutorial, you'll learn how to use the Python standard REPL (Read-Eval-Print Loop) to run your code interactively. This tool will allow you to test new ideas, explore and experiment with new tools and libraries, refactor and debug your code, try out examples, and more."
https://realpython.com/python-advent-of-code/,1h16m,,Advent of Code: Solving Your Puzzles With Python,Nov 30, 2022,basicscareertesting,"Advent of Code is an online advent calendar that shares new programming puzzles each day from December 1 to the 25. In this tutorial, you'll learn why solving programming puzzles can be beneficial and how you can get started with Advent of Code using Python."
https://realpython.com/add-python-to-path/,13m,,How to Add Python to PATH,Sep 26, 2022,basicsbest-practicesdevops,"In this tutorial, you'll learn about how to add Python, or any other program, to your PATH environment variable. You'll be covering the procedure in Windows, macOS, and Linux and find out what PATH is and why it's important."
https://realpython.com/python-do-while/,14m,,How Can You Emulate Do-While Loops in Python?,Jun 20, 2022,basicsbest-practicespython,"In this tutorial, you'll learn how to emulate do-while loops in Python. The most common technique to do this is to create an infinite while loop with a conditional statement that controls the loop and jumps out of it using a break statement."
https://realpython.com/python-all/,34m,,Python's all(): Check Your Iterables for Truthiness,Feb 09, 2022,basicsbest-practicespython,"In this step-by-step tutorial, you'll learn how to use Python's all() function to check if all the items in an iterable are truthy. You'll also code various examples that showcase a few interesting use cases of all() and highlight how you can use this function in Python."
https://realpython.com/build-a-python-weather-app-cli/,57m,,Raining Outside? Build a Weather CLI App With Python,Jan 26, 2022,basicsapi,"In this tutorial, you'll write a nicely formatted Python CLI app that displays information about the current weather in any city you provide the name for."
https://realpython.com/python-not-operator/,28m,,"Using the \"not\" Boolean Operator in Python",Oct 25, 2021,basicspython,"In this step-by-step tutorial, you'll learn how Python's \"not\" operator works and how to use it in your code. You'll get to know its features and see what kind of programming problems you can solve by using \"not\" in Python."
https://realpython.com/python-fractions/,48m,,Representing Rational Numbers With Python Fractions,Oct 11, 2021,basicspython,"In this tutorial, you'll learn about the Fraction data type in Python, which can represent rational numbers precisely without the rounding errors in binary arithmetic. You'll find that this is especially important in financial and other high-precision applications."
https://realpython.com/python-sum-function/,27m,,Python's sum(): The Pythonic Way to Sum Values,Oct 06, 2021,basicspython,"In this step-by-step tutorial, you'll learn how to use Python's sum() function to add numeric values together. You also learn how to concatenate sequences, such as lists and tuples, using sum()."
https://realpython.com/reverse-string-python/,18m,,Reverse Strings in Python: reversed(), Slicing, and More,Sep 27, 2021,basicsbest-practicespython,"In this step-by-step tutorial, you'll learn how to reverse strings in Python by using available tools such as reversed() and slicing operations. You'll also learn about a few useful ways to build reversed strings by hand."
https://realpython.com/python-and-operator/,31m,,
